[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1581700701.9776154
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\chartsheet\custom.py first seen with mtime 1581707264.514044
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\email\mime\message.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\pkg_resources\_vendor\packaging\_compat.py first seen with mtime 1581700547.7497783
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\views\generic\base.py first seen with mtime 1581700702.1583824
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1581700698.802536
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1581700701.5564218
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\opcode.py first seen with mtime 1540060734.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\diff_match_patch\diff_match_patch.py first seen with mtime 1581707275.2917085
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1581700678.5363958
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\email\charset.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\chart\series.py first seen with mtime 1581707264.4940445
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1581700701.5624192
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\pytz\__init__.py first seen with mtime 1581700680.4214015
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\tablib\compat.py first seen with mtime 1581707273.2119718
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\asgiref\sync.py first seen with mtime 1581700679.8044066
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\apps\config.py first seen with mtime 1581700691.506558
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\worksheet\cell_range.py first seen with mtime 1581707265.0330324
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1581700693.893427
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1581700678.5465195
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\tablib\formats\_xls.py first seen with mtime 1581707273.239975
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\yaml\parser.py first seen with mtime 1581707262.2751179
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\xlrd\timemachine.py first seen with mtime 1581707262.9406228
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\proyecto\sistema_ventas\sistema_ventas\urls.py first seen with mtime 1582004674.702368
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\descriptors\excel.py first seen with mtime 1581707264.5630538
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\wsgiref\__init__.py first seen with mtime 1540060736.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\encodings\utf_8.py first seen with mtime 1540060730.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1581700701.4404106
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\_yaml.cp36-win_amd64.pyd first seen with mtime 1581707262.252287
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1581700702.0566888
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1581700701.3774445
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\html\entities.py first seen with mtime 1540060730.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1581700701.6473737
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\difflib.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1581700698.7605586
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1581700701.4014304
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\odf\attrconverters.py first seen with mtime 1581707272.1231892
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\distutils\file_util.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\linecache.py first seen with mtime 1540060734.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\utils\formats.py first seen with mtime 1581700702.0790496
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\wsgiref\handlers.py first seen with mtime 1540060736.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\sqlparse\sql.py first seen with mtime 1581700678.5185053
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\import_export\utils.py first seen with mtime 1581707275.650043
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\chartsheet\relation.py first seen with mtime 1581707264.5220351
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\xml\dom\domreg.py first seen with mtime 1540060736.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1581700702.0995219
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\template\smartif.py first seen with mtime 1581700701.9746153
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1581700680.437394
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1581700701.3465252
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\concurrent\__init__.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\chart\title.py first seen with mtime 1581707264.50204
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\pkg_resources\_vendor\packaging\markers.py first seen with mtime 1581700547.756802
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\configparser.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\distutils\util.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1581700701.3984332
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\pkg_resources\_vendor\__init__.py first seen with mtime 1581700547.739686
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\proyecto\sistema_ventas\apps\inventario\admin.py first seen with mtime 1581707926.0576935
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\urls\__init__.py first seen with mtime 1581700702.02852
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1581700701.9290245
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\descriptors\sequence.py first seen with mtime 1581707264.5870342
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\_markupbase.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1581700701.7412555
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\worksheet\pagebreak.py first seen with mtime 1581707265.093015
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1581700695.6413207
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\MySQLdb\__init__.py first seen with mtime 1581700827.1210747
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\bz2.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1581700701.9210296
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1581700701.4364142
